Name,Buy,Gender,Age,Prefecture,City,Rank
杉山 美加子,2495,女,30,神奈川県,川崎市高津区,B
江古田 春香,3039,男,30,宮崎県,葛飾区,B
井上 陽子,4542,女,20,青森県,我孫子市,S
原田 健一,4231,男,40,長野県,八街市,A
野村 浩,209,女,30,埼玉県,大田区,A
桐山 亮介,4473,男,30,岡山県,川崎市高津区,C
中津川 浩,4728,男,40,秋田県,新島村,A
高橋 和也,4182,女,30,山口県,中野区,B
廣川 花子,2073,女,20,奈良県,横浜市中区,S
杉山 稔,1872,女,30,宮崎県,武蔵村山市,B
三宅 淳,3621,男,20,富山県,武蔵村山市,C
青田 浩,534,女,20,福岡県,浦安市,B
中島 修平,3938,女,20,群馬県,四街道市,B
小泉 智也,3166,男,40,岡山県,八王子市,A
井上 亮介,2987,女,40,岐阜県,香取郡神崎町,C
吉本 くみ子,2690,男,20,富山県,調布市,S
小林 裕太,3680,男,40,沖縄県,小笠原村,A
斉藤 里佳,3880,女,20,兵庫県,目黒区,C
石田 里佳,2440,女,30,鳥取県,渋谷区,C
中村 真綾,1883,男,40,山口県,西多摩郡奥多摩町,B
高橋 拓真,4146,女,20,群馬県,横浜市旭区,C
山田 裕美子,1493,女,20,山梨県,横浜市瀬谷区,S
原田 稔,2736,男,40,富山県,八街市,B
中島 くみ子,166,男,30,神奈川県,杉並区,B
渚 春香,1519,女,20,福岡県,三宅島三宅村,C
山田 聡太郎,1752,女,40,奈良県,横浜市鶴見区,C
浜田 直子,4477,男,40,北海道,三宅島三宅村,C
吉田 亮介,1078,女,30,熊本県,中央区,A
伊藤 篤司,239,男,20,山口県,三鷹市,S
青田 篤司,960,男,40,熊本県,台東区,S
近藤 聡太郎,156,女,20,滋賀県,横浜市金沢区,S
山口 裕太,1506,男,20,長野県,国分寺市,C
石田 陽子,4454,男,30,島根県,横浜市栄区,A
吉田 亮介,639,男,40,新潟県,印旛郡酒々井町,A
小泉 裕美子,1436,女,20,宮城県,香取郡神崎町,A
田辺 真綾,1282,男,40,佐賀県,袖ケ浦市,C
坂本 結衣,2251,女,30,静岡県,横浜市鶴見区,B
喜嶋 健一,3607,女,30,香川県,白井市,B
小泉 春香,3535,男,30,山口県,香取郡東庄町,B
廣川 幹,1438,女,30,新潟県,新宿区,A
喜嶋 淳,4828,男,20,山形県,板橋区,S
若松 洋介,1506,女,20,愛知県,横浜市瀬谷区,A
桐山 知実,679,男,20,石川県,大島町,A
中津川 あすか,2015,男,30,青森県,君津市,C
宇野 涼平,2096,男,40,山形県,南房総市,S
田中 太一,3732,女,30,大分県,町田市,S
渚 春香,1407,女,30,高知県,横浜市泉区,S
小泉 花子,3480,男,40,岩手県,新島村,B
杉山 美加子,1563,男,40,広島県,横浜市金沢区,A
佐々木 知実,4077,女,40,岩手県,横浜市港南区,S
石田 里佳,1232,男,40,奈良県,四街道市,C
井上 桃子,1245,男,40,熊本県,西多摩郡檜原村,S
大垣 直樹,2702,女,30,奈良県,いすみ市,B
山本 和也,2344,女,40,兵庫県,利島村,C
吉田 花子,3415,女,30,島根県,香取郡多古町,S
渚 治,596,男,30,愛知県,大網白里市,S
吉本 洋介,4933,女,30,香川県,横浜市保土ケ谷区,C
大垣 明美,266,女,30,山口県,富里市,A
青山 涼平,4794,女,40,岡山県,長生郡白子町,S
中村 聡太郎,3325,女,20,宮崎県,大島町,C
中村 結衣,1365,男,20,群馬県,横浜市磯子区,S
井高 修平,4055,男,30,京都府,安房郡鋸南町,S
松本 智也,2412,男,40,京都府,印旛郡酒々井町,C
木村 くみ子,359,男,20,兵庫県,渋谷区,S
山口 舞,3311,男,40,福岡県,神津島村,A
斉藤 千代,4673,男,40,富山県,清瀬市,C
宮沢 舞,4728,女,20,富山県,台東区,B
青山 拓真,3058,男,20,大分県,小金井市,A
井上 舞,1505,男,40,長崎県,印旛郡栄町,B
宮沢 智也,3985,男,20,石川県,八千代市,B
佐々木 裕美子,2580,男,20,和歌山県,小平市,S
坂本 幹,4879,女,40,新潟県,横浜市瀬谷区,B
石田 和也,2815,女,30,鳥取県,江戸川区,C
石田 修平,3623,女,40,秋田県,新宿区,B
木村 翔太,962,女,20,福島県,新島村,B
宮沢 花子,3876,男,30,岐阜県,立川市,B
小林 康弘,3968,男,20,宮崎県,白井市,C
吉本 充,3317,女,30,秋田県,西多摩郡瑞穂町,C
桐山 翼,172,男,20,富山県,武蔵野市,S
喜嶋 京助,1547,女,30,福岡県,御蔵島村,A
西之園 桃子,3006,女,20,宮崎県,府中市,A
斉藤 零,793,女,40,福井県,白井市,A
西之園 さゆり,1915,男,40,東京都,足立区,A
高橋 裕美子,3626,男,40,高知県,文京区,B
原田 花子,2067,女,20,大分県,印旛郡酒々井町,S
宮沢 拓真,671,女,40,宮崎県,西多摩郡檜原村,B
笹田 真綾,4013,男,40,愛知県,横浜市神奈川区,S
渡辺 千代,4807,男,30,福島県,横浜市鶴見区,A
井上 直子,2490,女,20,島根県,文京区,B
井上 浩,2151,女,20,島根県,世田谷区,C
喜嶋 裕太,2674,男,40,大阪府,四街道市,C
西之園 知実,989,女,20,宮城県,浦安市,A
田中 くみ子,715,女,30,福島県,川崎市幸区,S
原田 真綾,4083,女,40,宮崎県,狛江市,B
木村 結衣,882,男,20,佐賀県,昭島市,S
渚 直樹,1153,女,40,三重県,羽村市,S
吉本 陽子,2989,男,20,高知県,横浜市戸塚区,S
小林 里佳,2296,女,20,岐阜県,武蔵村山市,B
小泉 加奈,2387,女,20,茨城県,小笠原村,C
笹田 七夏,4081,男,40,熊本県,利島村,S
杉山 幹,860,女,20,広島県,府中市,S
吉田 浩,320,男,20,福島県,夷隅郡大多喜町,S
高橋 亮介,4057,男,20,群馬県,三宅島三宅村,B
山本 春香,4492,男,40,三重県,南房総市,B
西之園 直樹,1342,男,30,群馬県,長生郡長南町,B
宮沢 篤司,1400,男,40,福井県,新島村,A
渡辺 直子,3173,男,40,神奈川県,川崎市高津区,A
笹田 涼平,2659,女,40,東京都,渋谷区,S
伊藤 健一,1828,男,30,高知県,川崎市高津区,C
廣川 和也,2523,男,30,山形県,小笠原村,B
原田 結衣,4435,女,20,宮崎県,世田谷区,A
田辺 結衣,1687,男,40,香川県,長生郡睦沢町,S
野村 和也,4450,女,20,岩手県,横浜市磯子区,C
渡辺 洋介,126,男,40,青森県,横浜市西区,S
小泉 亮介,2610,男,40,山梨県,八王子市,S
青山 七夏,3988,女,20,新潟県,横浜市西区,S
喜嶋 京助,2087,女,20,愛知県,匝瑳市,C
青田 直樹,4719,女,40,三重県,川崎市多摩区,S
三宅 加奈,344,女,30,鹿児島県,横浜市中区,S
宇野 太郎,3116,女,40,東京都,武蔵野市,S
桐山 直人,3760,女,30,大分県,東大和市,C
吉本 真綾,185,男,30,福井県,狛江市,S
青田 洋介,635,男,40,茨城県,横浜市港北区,S
宇野 千代,1172,女,20,宮崎県,山武郡横芝光町,A
江古田 千代,2929,男,20,新潟県,長生郡一宮町,S
加納 香織,4648,女,30,愛媛県,府中市,A
小泉 加奈,3073,女,30,福島県,調布市,S
山本 香織,2232,女,40,茨城県,山武市,C
津田 香織,1658,女,20,奈良県,町田市,B
野村 智也,1926,女,40,島根県,三宅島三宅村,A
小泉 稔,2533,男,30,宮城県,武蔵野市,C
笹田 直樹,636,女,20,広島県,品川区,B
青山 裕樹,2843,男,20,熊本県,中野区,C
鈴木 裕太,3506,男,30,鹿児島県,大田区,B
西之園 あすか,2559,女,30,山形県,墨田区,C
藤本 花子,1326,男,30,京都府,西東京市,S
山岸 裕太,1162,男,20,大阪府,国分寺市,C
三宅 七夏,1815,女,40,和歌山県,白井市,B
小林 直子,1780,男,20,新潟県,杉並区,S
桐山 京助,1795,男,30,徳島県,八千代市,S
伊藤 和也,4539,男,20,青森県,横浜市中区,S
田辺 智也,2940,男,20,滋賀県,利島村,C
野村 あすか,2569,女,40,青森県,墨田区,S
井高 直子,160,女,30,長崎県,袖ケ浦市,C
原田 治,1522,男,40,岩手県,北区,B
中村 七夏,333,男,20,北海道,江戸川区,S
近藤 加奈,4164,男,40,大阪府,横浜市中区,B
杉山 直樹,1642,女,20,秋田県,印旛郡栄町,S
藤本 七夏,4770,女,30,福島県,武蔵村山市,A
井高 加奈,2369,男,30,静岡県,川崎市多摩区,S
浜田 篤司,3009,女,20,島根県,大島町,A
木村 裕太,4358,女,40,岡山県,横浜市磯子区,B
田中 裕太,753,男,20,山梨県,八千代市,B
廣川 明美,4790,男,40,山形県,横浜市瀬谷区,A
若松 学,2841,男,30,岩手県,青梅市,S
井高 裕美子,3418,女,40,茨城県,大網白里市,B
吉田 結衣,1611,男,40,群馬県,千代田区,C
山本 翼,1680,男,20,宮崎県,豊島区,S
若松 翔太,4834,女,20,山形県,新宿区,C
井上 結衣,480,男,20,山梨県,富里市,B
井高 太一,1885,女,40,大阪府,川崎市高津区,B
青田 裕樹,2441,女,40,長崎県,足立区,B
井高 真綾,4618,男,40,大阪府,町田市,B
小林 淳,3622,男,30,千葉県,小金井市,S
渚 裕樹,4810,女,30,長野県,川崎市高津区,S
原田 治,3621,男,30,奈良県,品川区,C
吉田 舞,3406,男,40,島根県,鴨川市,S
伊藤 英樹,4084,女,40,岩手県,川崎市高津区,C
井上 陽子,552,女,20,広島県,横浜市戸塚区,A
藤本 花子,1005,女,20,岡山県,福生市,C
喜嶋 直樹,4094,男,30,愛媛県,墨田区,S
喜嶋 くみ子,1956,男,40,徳島県,稲城市,S
江古田 亮介,321,男,30,群馬県,横浜市緑区,S
桐山 加奈,4997,女,30,大分県,羽村市,S
江古田 亮介,4176,男,40,大分県,山武郡芝山町,S
村山 陽子,3902,男,30,北海道,印西市,C
井上 桃子,1897,女,20,香川県,香取市,S
佐々木 智也,1011,男,30,宮崎県,日野市,A
山口 真綾,4964,男,20,岐阜県,香取郡東庄町,B
中津川 涼平,3666,男,30,千葉県,南房総市,C
中島 さゆり,3736,女,20,福岡県,横浜市瀬谷区,A
斉藤 修平,2027,男,30,奈良県,横浜市緑区,B
近藤 香織,3758,男,30,大阪府,品川区,S
笹田 篤司,4867,女,20,富山県,小平市,C
津田 修平,4092,女,30,岩手県,印旛郡印旛村,B
木村 七夏,4898,女,30,群馬県,印旛郡印旛村,S
加藤 明美,1874,女,30,石川県,利島村,A
坂本 幹,3255,女,20,福岡県,いすみ市,B
高橋 亮介,4440,男,30,岩手県,板橋区,S
中島 智也,3725,男,40,長野県,君津市,S
西之園 陽一,4788,男,20,徳島県,袖ケ浦市,B
近藤 陽子,4032,女,40,広島県,浦安市,A
吉本 知実,1570,女,20,大分県,西東京市,B
工藤 くみ子,291,男,40,静岡県,東久留米市,C
宮沢 真綾,3073,女,40,愛媛県,横浜市泉区,B
山田 京助,1091,男,30,山形県,羽村市,A
鈴木 稔,3343,男,20,香川県,多摩市,B
松本 聡太郎,1100,女,20,愛知県,江戸川区,C
桐山 篤司,3043,男,40,宮崎県,川崎市中原区,C
小泉 結衣,497,女,40,東京都,川崎市高津区,B
江古田 千代,2847,女,40,高知県,横浜市青葉区,C
渡辺 太郎,1011,男,20,京都府,大網白里市,B
伊藤 亮介,3777,女,40,愛知県,昭島市,A
野村 京助,3925,女,30,島根県,印西市,C
青田 拓真,1565,女,30,奈良県,八街市,A
松本 拓真,1216,男,20,長崎県,横浜市戸塚区,A
吉本 裕樹,2827,女,20,長野県,新島村,A
三宅 健一,4126,女,40,静岡県,港区,A
原田 結衣,1885,女,40,徳島県,足立区,S
津田 直人,3547,女,30,愛知県,印旛郡酒々井町,C
山田 加奈,4825,男,40,岩手県,富津市,S
藤本 裕美子,4336,男,20,北海道,印旛郡印旛村,S
高橋 聡太郎,4574,男,30,三重県,長生郡白子町,B
坂本 あすか,1856,女,40,和歌山県,匝瑳市,C
加藤 直人,424,女,20,宮崎県,横浜市保土ケ谷区,A
三宅 晃,1504,男,30,佐賀県,山武郡芝山町,S
三宅 治,636,女,30,岡山県,大島町,A
近藤 あすか,2890,男,30,栃木県,横浜市港北区,A
杉山 里佳,1690,女,20,富山県,安房郡鋸南町,S
伊藤 太郎,184,女,20,島根県,横浜市泉区,B
青山 晃,2040,女,30,福岡県,香取郡多古町,B
小林 陽子,4401,女,40,富山県,印旛郡本埜村,C
松本 加奈,1640,男,30,長崎県,横浜市旭区,S
高橋 裕太,876,男,20,宮崎県,横浜市西区,S
山口 裕太,4580,男,40,群馬県,立川市,C
藤本 淳,1772,男,30,静岡県,西多摩郡瑞穂町,C
高橋 結衣,2300,女,40,岐阜県,大島町,S
加納 結衣,4545,女,20,富山県,横浜市旭区,A
小泉 幹,1830,女,20,長崎県,鎌ケ谷市,B
松本 晃,471,男,40,大分県,東大和市,S
田辺 涼平,4872,女,30,大阪府,西東京市,A
高橋 裕美子,4325,女,40,岩手県,品川区,S
鈴木 里佳,4836,女,20,奈良県,台東区,A
廣川 裕美子,585,男,20,熊本県,鴨川市,C
木村 篤司,4046,男,30,広島県,横浜市港北区,B
渡辺 裕太,846,男,20,宮城県,香取郡東庄町,A
笹田 明美,3709,女,30,高知県,長生郡長生村,C
田中 里佳,2117,男,40,静岡県,横浜市鶴見区,B
大垣 直人,4816,男,20,岐阜県,山武郡横芝光町,B
山口 結衣,2509,女,30,静岡県,練馬区,S
中島 智也,1308,男,40,新潟県,西多摩郡奥多摩町,S
坂本 浩,989,女,40,大阪府,香取郡東庄町,C
村山 翔太,2961,男,30,長野県,大田区,C
西之園 舞,427,女,30,愛媛県,板橋区,S
山口 千代,3689,男,40,長野県,川崎市川崎区,C
山本 淳,1129,男,20,徳島県,稲城市,S
廣川 充,3957,男,40,静岡県,多摩市,C
山口 真綾,1153,男,30,徳島県,大田区,S
津田 浩,2373,男,40,広島県,北区,B
田中 陽一,3567,男,30,秋田県,国分寺市,S
中津川 洋介,1062,男,20,島根県,清瀬市,B
西之園 さゆり,3884,男,40,茨城県,青梅市,A
山口 里佳,309,男,30,滋賀県,香取郡東庄町,A
渚 陽子,401,女,40,大阪府,国立市,S
宮沢 くみ子,403,女,20,島根県,中央区,A
野村 拓真,2983,女,40,長野県,新宿区,C
工藤 七夏,1669,女,40,三重県,福生市,S
三宅 真綾,2328,女,40,愛媛県,神津島村,C
山口 あすか,4259,男,30,鳥取県,昭島市,A
青山 真綾,1710,男,30,三重県,印旛郡本埜村,S
加藤 美加子,499,男,40,奈良県,練馬区,S
山岸 修平,1627,男,40,沖縄県,長生郡睦沢町,B
松本 直子,2680,女,20,埼玉県,目黒区,A
村山 幹,525,女,20,富山県,武蔵村山市,B
中津川 聡太郎,4404,男,40,千葉県,荒川区,B
工藤 淳,1640,女,40,宮崎県,長生郡長生村,C
吉田 陽子,1022,女,20,鳥取県,東村山市,C
斉藤 真綾,271,男,40,埼玉県,袖ケ浦市,C
中島 涼平,1520,男,20,鹿児島県,小平市,C
廣川 幹,4262,男,40,奈良県,香取郡多古町,A
桐山 真綾,1963,男,40,沖縄県,白井市,B
村山 春香,765,男,40,香川県,福生市,B
津田 裕樹,996,男,20,高知県,匝瑳市,A
藤本 明美,2325,男,40,三重県,横浜市磯子区,A
吉田 春香,154,男,20,石川県,中央区,B
中村 晃,463,女,20,福井県,渋谷区,A
吉田 里佳,1415,女,30,山形県,香取郡多古町,S
木村 太一,4272,女,30,岡山県,川崎市宮前区,C
坂本 稔,1011,男,30,宮崎県,東村山市,C
石田 桃子,702,男,30,鹿児島県,白井市,C
工藤 拓真,3223,男,20,福井県,川崎市宮前区,A
佐々木 治,1972,女,30,徳島県,青梅市,C
宮沢 七夏,323,男,20,鹿児島県,川崎市中原区,C
山口 洋介,4445,男,40,山形県,西東京市,S
青田 七夏,476,女,30,広島県,大網白里市,A
津田 治,4274,女,40,静岡県,あきる野市,A
宮沢 学,3627,女,20,神奈川県,横浜市保土ケ谷区,B
井高 修平,2546,女,20,福島県,いすみ市,C
木村 美加子,2516,男,40,鳥取県,横浜市磯子区,S
井高 知実,3146,女,30,東京都,神津島村,S
吉本 京助,3463,男,30,北海道,武蔵村山市,C
桐山 くみ子,4126,女,30,長崎県,清瀬市,A
木村 香織,1878,男,40,埼玉県,中央区,C
渡辺 智也,3110,男,30,京都府,新宿区,A
笹田 春香,3367,男,40,岡山県,多摩市,B
小林 晃,4370,男,20,京都府,神津島村,C
加藤 学,1225,男,40,山形県,江東区,B
山岸 香織,959,女,20,岐阜県,杉並区,B
桐山 康弘,574,男,40,千葉県,墨田区,C
藤本 聡太郎,3743,女,20,和歌山県,千代田区,S
渡辺 花子,2269,男,30,岡山県,横浜市旭区,S
青田 直子,3974,男,40,滋賀県,北区,A
宮沢 千代,264,男,30,愛媛県,千代田区,C
渚 京助,1421,男,40,兵庫県,東村山市,C
斉藤 健一,2629,女,40,山形県,北区,B
江古田 直樹,1802,男,30,神奈川県,川崎市中原区,B
中島 くみ子,4948,女,30,栃木県,横浜市瀬谷区,S
田辺 あすか,956,女,40,大阪府,目黒区,S
津田 春香,2819,男,40,三重県,東久留米市,S
津田 花子,2578,女,40,茨城県,目黒区,S
山本 淳,3410,女,40,滋賀県,福生市,S
江古田 涼平,4644,男,30,宮崎県,横浜市戸塚区,A
佐々木 治,1140,女,40,長崎県,中央区,B
渡辺 香織,1048,女,20,福岡県,稲城市,S
野村 香織,1261,女,20,佐賀県,横浜市神奈川区,C
高橋 裕樹,1450,男,20,高知県,横浜市神奈川区,A
小泉 あすか,4037,男,20,大阪府,西多摩郡奥多摩町,B
渚 里佳,2315,男,30,福井県,昭島市,B
山本 亮介,3627,女,30,宮崎県,横浜市港南区,B
佐藤 美加子,318,女,40,島根県,印旛郡酒々井町,B
青田 治,2970,男,30,岐阜県,横浜市栄区,C
山岸 くみ子,1523,男,20,大分県,安房郡鋸南町,S
宇野 千代,3954,男,40,山梨県,御蔵島村,A
山田 幹,3452,男,20,岐阜県,世田谷区,S
田中 浩,3153,女,30,広島県,豊島区,S
山本 春香,2175,女,20,香川県,横浜市金沢区,S
浜田 舞,366,女,20,広島県,中央区,A
津田 拓真,4632,女,40,福井県,狛江市,C
山田 篤司,4021,男,40,山梨県,大田区,B
若松 幹,4899,男,30,島根県,台東区,B
山岸 知実,4821,男,20,沖縄県,千代田区,C
井上 結衣,2509,女,30,三重県,荒川区,C
井上 零,269,男,30,茨城県,印旛郡栄町,B
工藤 聡太郎,277,男,30,静岡県,渋谷区,S
藤本 あすか,3673,男,30,愛媛県,長生郡長生村,S
山口 さゆり,1530,男,40,岡山県,長生郡一宮町,B
田辺 淳,2101,女,20,山形県,板橋区,S
佐藤 直人,3854,男,40,兵庫県,立川市,A
桐山 明美,2588,男,40,広島県,横浜市中区,A
田辺 浩,4481,男,30,群馬県,川崎市多摩区,A
江古田 淳,448,男,40,北海道,大網白里市,B
田辺 京助,2870,男,30,神奈川県,北区,C
加納 晃,1501,女,30,佐賀県,武蔵野市,B
藤本 京助,925,女,20,香川県,武蔵野市,B
桐山 春香,679,男,30,宮城県,新宿区,B
桐山 晃,2363,女,20,熊本県,利島村,A
鈴木 里佳,650,男,30,佐賀県,東村山市,C
佐藤 洋介,365,男,20,大阪府,四街道市,B
山岸 明美,349,男,30,和歌山県,印旛郡酒々井町,S
木村 春香,4633,女,40,宮城県,長生郡長南町,C
井高 花子,970,男,30,沖縄県,新宿区,C
吉本 陽一,3696,男,20,宮崎県,日野市,S
吉本 さゆり,2621,女,40,群馬県,白井市,S
中村 七夏,3426,女,20,愛媛県,川崎市宮前区,A
井高 拓真,3065,男,40,愛媛県,川崎市多摩区,S
田中 亮介,958,男,20,滋賀県,青梅市,C
大垣 さゆり,1933,男,20,新潟県,横浜市保土ケ谷区,A
小泉 太一,1152,男,30,高知県,豊島区,C
青田 治,2306,女,20,青森県,横浜市旭区,B
斉藤 春香,4204,女,30,岐阜県,印旛郡栄町,C
江古田 拓真,3763,女,20,鹿児島県,横浜市栄区,S
山岸 花子,616,男,30,神奈川県,墨田区,C
野村 亮介,1401,女,30,岡山県,板橋区,C
山岸 陽子,3598,女,40,兵庫県,横浜市港北区,C
渚 修平,4798,女,20,岩手県,横浜市西区,A
鈴木 美加子,4800,女,30,三重県,山武郡芝山町,A
江古田 陽子,3199,女,20,鳥取県,青ヶ島村,S
中津川 翔太,1411,男,20,岡山県,長生郡睦沢町,A
山本 さゆり,1813,男,20,岐阜県,横浜市磯子区,C
佐々木 くみ子,769,女,30,三重県,横浜市磯子区,S
石田 涼平,4609,男,30,山梨県,目黒区,B
喜嶋 加奈,1347,女,20,秋田県,武蔵野市,C
井上 舞,4258,男,30,京都府,多摩市,S
松本 加奈,4780,男,40,兵庫県,利島村,C
桐山 花子,191,男,30,群馬県,山武市,S
佐々木 翔太,2580,女,20,山口県,香取郡東庄町,S
小林 英樹,4941,女,40,鳥取県,日野市,A
江古田 あすか,1550,男,30,滋賀県,印旛郡酒々井町,C
佐々木 直子,4376,男,40,青森県,国立市,A
鈴木 知実,227,女,40,京都府,横浜市鶴見区,B
江古田 太郎,1636,女,20,青森県,西多摩郡日の出町,B
青山 加奈,2009,女,30,島根県,横浜市南区,A
井上 直子,795,女,20,佐賀県,鴨川市,S
石田 学,407,女,30,静岡県,我孫子市,A
佐藤 加奈,705,男,30,千葉県,鎌ケ谷市,A
伊藤 美加子,3405,男,20,茨城県,横浜市中区,A
木村 直人,695,男,20,愛媛県,八丈島八丈町,S
鈴木 結衣,3508,男,30,滋賀県,香取市,S
山本 結衣,590,男,40,兵庫県,君津市,C
津田 陽一,744,男,20,茨城県,鴨川市,A
渡辺 加奈,3837,男,20,和歌山県,いすみ市,B
渡辺 太郎,1446,男,20,奈良県,横浜市鶴見区,S
廣川 裕美子,4943,女,20,兵庫県,西多摩郡檜原村,A
青山 直子,864,女,20,山口県,長生郡長南町,C
青山 智也,4613,男,20,熊本県,江東区,S
田中 花子,3041,男,40,岩手県,国分寺市,S
山口 七夏,1709,男,20,熊本県,豊島区,A
宇野 太一,1213,女,40,和歌山県,文京区,S
高橋 修平,2809,男,20,奈良県,四街道市,A
石田 香織,3388,男,40,埼玉県,君津市,S
村山 真綾,4866,男,20,茨城県,青梅市,C
坂本 晃,1799,女,20,鳥取県,山武郡九十九里町,A
小林 陽一,1078,男,20,秋田県,羽村市,A
宮沢 裕樹,2488,男,40,大分県,利島村,B
斉藤 陽一,1479,男,40,茨城県,山武市,A
加藤 太一,3206,女,40,岡山県,西東京市,S
大垣 充,978,女,30,広島県,中野区,B
青田 さゆり,4625,男,30,長崎県,御蔵島村,B
廣川 太一,2206,男,20,山口県,夷隅郡御宿町,A
高橋 舞,4322,女,40,栃木県,横浜市旭区,B
中村 舞,3949,女,40,秋田県,安房郡鋸南町,A
田辺 くみ子,1467,男,30,山梨県,長生郡一宮町,C
青田 拓真,3834,男,30,福島県,山武市,A
伊藤 結衣,3259,男,30,福島県,立川市,C
大垣 健一,1592,女,20,栃木県,長生郡睦沢町,B
高橋 翼,2182,女,20,新潟県,豊島区,A
吉本 桃子,2440,男,40,神奈川県,山武郡横芝光町,A
小泉 淳,3208,男,30,大分県,横浜市金沢区,S
木村 結衣,3842,男,30,鳥取県,西多摩郡瑞穂町,A
吉田 香織,4226,男,40,広島県,鴨川市,S
小林 真綾,1304,女,40,広島県,横浜市青葉区,A
大垣 くみ子,3171,女,20,奈良県,長生郡白子町,S
中村 桃子,1021,女,20,栃木県,葛飾区,C
山田 舞,427,女,40,山形県,杉並区,B
三宅 七夏,4762,女,30,広島県,袖ケ浦市,B
斉藤 春香,4915,男,40,山梨県,長生郡長生村,C
渡辺 陽一,1021,男,40,鹿児島県,八王子市,C
加藤 加奈,4401,女,20,愛媛県,東大和市,S
佐々木 舞,4872,男,20,熊本県,青ヶ島村,A
井高 直子,4921,男,40,長崎県,武蔵村山市,B
三宅 太郎,2915,男,30,奈良県,東村山市,A
吉田 篤司,1351,女,30,佐賀県,西多摩郡奥多摩町,A
小林 陽子,3550,男,40,長野県,鎌ケ谷市,S
吉田 晃,4872,男,20,東京都,横浜市鶴見区,S
村山 七夏,3642,女,40,山梨県,白井市,A
藤本 浩,2150,男,40,山梨県,横浜市旭区,B
鈴木 舞,3950,女,40,鳥取県,中央区,B
工藤 涼平,274,男,30,岩手県,西多摩郡檜原村,S
江古田 淳,4016,男,20,沖縄県,白井市,C
松本 翔太,3641,女,30,福岡県,町田市,S
石田 知実,3307,男,20,福島県,富里市,C
吉田 直樹,4044,女,40,山形県,八千代市,S
原田 和也,3540,男,40,香川県,稲城市,B
杉山 あすか,4618,女,20,熊本県,あきる野市,A
山岸 春香,4278,男,30,山口県,横浜市旭区,A
渡辺 健一,4602,女,30,岡山県,横浜市戸塚区,A
原田 英樹,2270,女,40,大分県,富里市,S
原田 香織,955,男,20,青森県,西多摩郡日の出町,S
宇野 英樹,3094,女,40,愛知県,小金井市,A
山田 美加子,3136,女,30,沖縄県,横浜市青葉区,A
木村 直人,2452,女,30,宮崎県,長生郡長柄町,A
工藤 陽子,1713,男,30,島根県,千代田区,A
加藤 治,3828,男,20,千葉県,品川区,S
高橋 あすか,2940,女,20,青森県,四街道市,C
石田 幹,1320,女,30,山形県,台東区,B
宮沢 陽一,476,女,40,青森県,港区,C
三宅 春香,4606,男,40,鳥取県,武蔵野市,C
藤本 あすか,1851,男,30,沖縄県,川崎市中原区,B
井上 淳,4162,男,30,大分県,富里市,C
渡辺 知実,233,女,40,広島県,長生郡長南町,S
渡辺 充,4661,女,40,島根県,西多摩郡檜原村,B
中津川 智也,3752,女,30,群馬県,君津市,B
